ID,Title,Year,Journal,Author,,,,,,,,,,,,
2-s2.0-85038208476,Dynamics of Learning in MLP: Natural Gradient and Singularity Revisited.,2018,Neural Computation,Shun-ichi Amari,Tomoko Ozeki,Ryo Karakida,Yuki Yoshida,Masato Okada,,,,,,,,
2-s2.0-85038210786,Balancing New against Old Information: The Role of Puzzlement Surprise in Learning.,2018,Neural Computation,Mohammad Javad Faraji,Kerstin Preuschoff,Wulfram Gerstner,,,,,,,,,,
2-s2.0-85038214740,Capturing Spike Variability in Noisy Izhikevich Neurons Using Point Process Generalized Linear Models.,2018,Neural Computation,Jacob stergaard,Mark A. Kramer,Uri T. Eden,,,,,,,,,,
2-s2.0-85038215147,Mechanism-Based and Input-Output Modeling of the Key Neuronal Connections and Signal Transformations in the CA3-CA1 Regions of the Hippocampus.,2018,Neural Computation,Kunling Geng,Dae C. Shin,Dong Song,Robert E. Hampson,Sam A. Deadwyler,Theodore W. Berger,Vasilis Z. Marmarelis,,,,,,
2-s2.0-85038210237,Improved Perceptual Learning by Control of Extracellular GABA Concentration by Astrocytic Gap Junctions.,2018,Neural Computation,Osamu Hoshino,Mei Hong Zheng,Kazuo Watanabe,,,,,,,,,,
2-s2.0-85038211063,Sequence Classification Using Third-Order Moments.,2018,Neural Computation,Rasmus Troelsgrd,Lars Kai Hansen,,,,,,,,,,,
2-s2.0-85038215961,Predictive Coding for Dynamic Visual Processing: Development of Functional Hierarchy in a Multiple Spatiotemporal Scales RNN Model.,2018,Neural Computation,Minkyu Choi,Jun Tani,,,,,,,,,,,
2-s2.0-85038213781,Temporal Causal Inference with Time Lag.,2018,Neural Computation,Sizhen Du,Guojie Song,Lei Han,Haikun Hong,,,,,,,,,
2-s2.0-85041059951,The Interaction between Semantic Representation and Episodic Memory.,2018,Neural Computation,Jing Fang,Naima R¨¹ther,Christian Bellebaum,Laurenz Wiskott,Sen Cheng,,,,,,,,
2-s2.0-85041070966,On Rhythms in Neuronal Networks with Recurrent Excitation.,2018,Neural Computation,Christoph Brgers,R. Melody Takeuchi,Daniel T. Rosebrock,,,,,,,,,,
2-s2.0-85041062579,"A Single, Continuously Applied Control Policy for Modeling Reaching Movements with and without Perturbation.",2018,Neural Computation,Zhe Li,Pietro Mazzoni,Sen Song,Ning Qian,,,,,,,,,
2-s2.0-85041059133,A Perceptual-Like Population-Coding Mechanism of Approximate Numerical Averaging.,2018,Neural Computation,Noam Brezis,Zohar Z. Bronfman,Marius Usher,,,,,,,,,,
2-s2.0-85041034670,Statistics of Visual Responses to Image Object Stimuli from Primate AIT Neurons to DNN Neurons.,2018,Neural Computation,Qiulei Dong,Hong Wang,Zhanyi Hu,,,,,,,,,,
2-s2.0-85041035214,Sufficient Dimension Reduction via Direct Estimation of the Gradients of Logarithmic Conditional Densities.,2018,Neural Computation,Hiroaki Sasaki,Voot Tangkaratt,Gang Niu,Masashi Sugiyama,,,,,,,,,
2-s2.0-85017582804,Sufficient Dimension Reduction via Direct Estimation of the Gradients of Logarithmic Conditional Densities.,2018,Neural Computation,Hiroaki Sasaki,Voot Tangkaratt,Gang Niu,Masashi Sugiyama,,,,,,,,,
2-s2.0-85041047283,Rank-Optimized Logistic Matrix Regression toward Improved Matrix Data Classification.,2018,Neural Computation,Jianguang Zhang,Jianmin Jiang,,,,,,,,,,,
2-s2.0-85041092209,Joint Concept Correlation and Feature-Concept Relevance Learning for Multilabel Classification.,2018,Neural Computation,Xiaowei Zhao,Zhigang Ma,Zhi Li,Zhihui Li,,,,,,,,,
2-s2.0-85041048807,Feedforward Approximations to Dynamic Recurrent Network Architectures.,2018,Neural Computation,Dylan R. Muir,,,,,,,,,,,,
2-s2.0-85042200284,"Improving Spiking Dynamical Networks: Accurate Delays, Higher-Order Synapses, and Time Cells.",2018,Neural Computation,Aaron R. Voelker,Chris Eliasmith,,,,,,,,,,,
2-s2.0-85042200116,Imaging the Spatiotemporal Dynamics of Cognitive Processes at High Temporal Resolution.,2018,Neural Computation,I. Tal,M. Abeles,,,,,,,,,,,
2-s2.0-85042194736,Learning Midlevel Auditory Codes from Natural Sound Statistics.,2018,Neural Computation,Wiktor Mlynarski,Josh H. McDermott,,,,,,,,,,,
2-s2.0-85042186169,Identification of Linear and Nonlinear Sensory Processing Circuits from Spiking Neuron Data.,2018,Neural Computation,Dorian Florescu,Daniel Coca,,,,,,,,,,,
2-s2.0-85042178162,Indistinguishable Synapses Lead to Sparse Networks.,2018,Neural Computation,Joseph Snider,,,,,,,,,,,,
2-s2.0-85042179910,Spiking Neural Classifier with Lumped Dendritic Nonlinearity and Binary Synapses: A Current Mode VLSI Implementation and Analysis.,2018,Neural Computation,Aritra Bhaduri,Amitava Banerjee,Subhrajit Roy,Sougata Kar,Arindam Basu,,,,,,,,
2-s2.0-85042200731,From Winner-Takes-All to Winners-Share-All: Exploiting the Information Capacity in Temporal Codes.,2018,Neural Computation,Melika Payvand,Luke Theogarajan,,,,,,,,,,,
2-s2.0-85042187388,Quantifying Strength of Chaos in the Population Firing Rate of Neurons.,2018,Neural Computation,Takashi Kanamaru,,,,,,,,,,,,
2-s2.0-85042202020,Cross-Domain Metric and Multiple Kernel Learning Based on Information Theory.,2018,Neural Computation,Wei Wang,Hao Wang,Chen Zhang,Yang Gao,,,,,,,,,
2-s2.0-85044322950,Dynamic Neural Turing Machine with Continuous and Discrete Addressing Schemes.,2018,Neural Computation,aglar G¨¹lehre,Sarath Chandar,Kyunghyun Cho,Yoshua Bengio,,,,,,,,,
2-s2.0-85044277753,Information-Theoretic Bounds and Approximations in Neural Population Coding.,2018,Neural Computation,Wentao Huang,Kechen Zhang,,,,,,,,,,,
2-s2.0-85044333062,A Unifying Framework of Synaptic and Intrinsic Plasticity in Neural Populations.,2018,Neural Computation,Johannes Leugering,Gordon Pipa,,,,,,,,,,,
2-s2.0-85044295380,Robust Modulation of Integrate-and-Fire Models.,2018,Neural Computation,Tomas Van Pottelbergh,Guillaume Drion,Rodolphe Sepulchre,,,,,,,,,,
2-s2.0-85044255891,"Dethroning the Fano Factor: A Flexible, Model-Based Approach to Partitioning Neural Variability.",2018,Neural Computation,Adam S. Charles,Mijung Park,J. Patrick Weller,Gregory D. Horwitz,Jonathan W. Pillow,,,,,,,,
2-s2.0-85044283008,Estimating a Separably Markov Random Field from Binary Observations.,2018,Neural Computation,Yingzhuo Zhang,Noa Malem-Shinitski,Stephen A. Allsop,Kay Tye,Demba Ba,,,,,,,,
2-s2.0-85044325903,Adaptive Structure Concept Factorization for Multiview Clustering.,2018,Neural Computation,Kun Zhan,Jinhui Shi,Jing Wang,Haibo Wang,Yuange Xie,,,,,,,,
2-s2.0-85044269780,Muscle Synergy-Driven Robust Motion Control.,2018,Neural Computation,Kyuengbo Min,Masami Iwamoto,Shinji Kakei,Hideyuki Kimpara,,,,,,,,,
2-s2.0-85044263240,Coexistence of Stochastic Oscillations and Self-Organized Criticality in a Neuronal Network: Sandpile Model Application.,2018,Neural Computation,Alireza Saeedi,Mostafa Jannesari,Shahriar Gharibzadeh,Fatemeh Bakouie,,,,,,,,,
2-s2.0-85048663520,Slowness as a Proxy for Temporal Predictability: An Empirical Comparison.,2018,Neural Computation,Bjrn Weghenkel,Laurenz Wiskott,,,,,,,,,,,
2-s2.0-85046647790,Designing Patient-Specific Optimal Neurostimulation Patterns for Seizure Suppression.,2018,Neural Computation,Roman A. Sandler,Kunling Geng,Dong Song,Robert E. Hampson,Mark R. Witcher,Sam A. Deadwyler,Theodore W. Berger,Vasilis Z. Marmarelis,,,,,
2-s2.0-85048685401,Predictive Coding in Area V4: Dynamic Shape Discrimination under Partial Occlusion.,2018,Neural Computation,Hannah Choi,Anitha Pasupathy,Eric Shea-Brown,,,,,,,,,,
2-s2.0-85048684139,"Pattern Storage, Bifurcations, and Groupwise Correlation Structure of an Exactly Solvable Asymmetric Neural Network Model.",2018,Neural Computation,Diego Fasoli,Anna Cattani,Stefano Panzeri,,,,,,,,,,
2-s2.0-85048665877,An Interneuron Circuit Reproducing Essential Spectral Features of Field Potentials.,2018,Neural Computation,Reinoud Maex,,,,,,,,,,,,
2-s2.0-85048674473,Optimizing the Usability of Brain-Computer Interfaces.,2018,Neural Computation,Yin Zhang,Steven M. Chase,,,,,,,,,,,
2-s2.0-85048699322,Solving Constraint-Satisfaction Problems with Distributed Neocortical-Like Neuronal Networks.,2018,Neural Computation,Ueli Rutishauser,Jean-Jacques E. Slotine,Rodney J. Douglas,,,,,,,,,,
2-s2.0-85048669940,A Kernel Embedding-Based Approach for Nonstationary Causal Model Inference.,2018,Neural Computation,Shoubo Hu,Zhitang Chen,Laiwan Chan,,,,,,,,,,
2-s2.0-85048677707,Deep Semisupervised Zero-Shot Learning with Maximum Mean Discrepancy.,2018,Neural Computation,Lingling Zhang,Jun Liu,Minnan Luo,Xiaojun Chang,Qinghua Zheng,,,,,,,,
2-s2.0-85047470315,A Theory of Sequence Indexing and Working Memory in Recurrent Neural Networks.,2018,Neural Computation,Edward Paxon Frady,Denis Kleyko,Friedrich T. Sommer,,,,,,,,,,
2-s2.0-85047469212,SuperSpike: Supervised Learning in Multilayer Spiking Neural Networks.,2018,Neural Computation,Friedemann Zenke,Surya Ganguli,,,,,,,,,,,
2-s2.0-85047460312,Optimal Readout of Correlated Neural Activity in a Decision-Making Circuit.,2018,Neural Computation,Matias Calderini,Sophie Zhang,Nareg Berberian,Jean-Philippe Thivierge,,,,,,,,,
2-s2.0-85047490671,Novel Perceptually Uniform Chromatic Space.,2018,Neural Computation,Mar¨ªa da Fonseca,In¨¦s Samengo,,,,,,,,,,,
2-s2.0-85047477588,Robust MST-Based Clustering Algorithm.,2018,Neural Computation,Qi-dong Liu,Ruisheng Zhang,Zhili Zhao,Zhenghai Wang,Mengyao Jiao,Guangjing Wang,,,,,,,
2-s2.0-85047470417,Facet Annotation by Extending CNN with a Matching Strategy.,2018,Neural Computation,Bei Wu,Bifan Wei,Jun Liu,Zhaotong Guo,Yuanhao Zheng,Yihe Chen,,,,,,,
2-s2.0-85047469561,Distributed Newton Methods for Deep Neural Networks.,2018,Neural Computation,Chien-Chih Wang,Kent Loong Tan,Chun-Ting Chen,Yu-Hsiang Lin,S. Sathiya Keerthi,Dhruv Mahajan,S. Sundararajan,Chih-Jen Lin,,,,,
2-s2.0-85048934096,t-SNE Visualization of Large-Scale Neural Recordings.,2018,Neural Computation,George Dimitriadis,Joana P. Neto,Adam R. Kampff,,,,,,,,,,
2-s2.0-85048938650,Fully Convolutional Network-Based Multifocus Image Fusion.,2018,Neural Computation,Xiaopeng Guo,Rencan Nie,Jinde Cao,Dongming Zhou,Wenhua Qian,,,,,,,,
2-s2.0-85048936449,A Computational Account of the Role of Cochlear Nucleus and Inferior Colliculus in Stabilizing Auditory Nerve Firing for Auditory Category Learning.,2018,Neural Computation,Irina Higgins,Simon M. Stringer,Jan W. H. Schnupp,,,,,,,,,,
2-s2.0-85064920662,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85053709969,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85067793092,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85067019056,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85066444082,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85059839967,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065619948,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065501184,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85067899355,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85065931767,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85064322514,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85064228514,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85063425129,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
2-s2.0-85066061394,None,2018,Neural Computation,Alan Paris,Azadeh Vosoughi,Stephen A. Berman,George K. Atia,,,,,,,,,
