ID,Title,Year,Journal,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dual vigilance fuzzy adaptive resonance theory.,2019,Neural Networks,Leonardo Enzo Brito da Silva,Islam El-Nabarawy,Donald C. Wunsch II,,,,,,,,,,,,,,,,,,,,,,,,,
2,Neighborhood preserving neural network for fault detection.,2019,Neural Networks,Haitao Zhao,Zhihui Lai,,,,,,,,,,,,,,,,,,,,,,,,,,
3,The importance of recurrent top-down synaptic connections for the anticipation of dynamic emotions.,2019,Neural Networks,Martial Mermillod,Yannick Bourrier,Erwan David,Louise Kauffmann,Alan Chauvin,Nathalie Guyader,Fr¨¦d¨¦ric Dutheil,Carole Peyrin,,,,,,,,,,,,,,,,,,,,
4,A fully convolutional two-stream fusion network for interactive image segmentation.,2019,Neural Networks,Yang Hu,Andrea Soltoggio,Russell Lock,Steve Carter,,,,,,,,,,,,,,,,,,,,,,,,
5,Variational inference with Gaussian mixture model and householder flow.,2019,Neural Networks,GuoJun Liu,Yang Liu,Maozu Guo,Peng Li,Mingyu Li,,,,,,,,,,,,,,,,,,,,,,,
6,Unsupervised feature extraction by low-rank and sparsity preserving embedding.,2019,Neural Networks,Shanhua Zhan,Jigang Wu,Na Han,Jie Wen,Xiaozhao Fang,,,,,,,,,,,,,,,,,,,,,,,
7,Intrinsic motivation and mental replay enable efficient online adaptation in stochastic recurrent networks.,2019,Neural Networks,Daniel Tanneberg,Jan Peters,Elmar Rueckert,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fixed-time synchronization of inertial memristor-based neural networks with discrete delay.,2019,Neural Networks,Chuan Chen,Lixiang Li,Haipeng Peng,Yixian Yang,,,,,,,,,,,,,,,,,,,,,,,,
9,Evaluating performance of neural codes in model neural communication networks.,2019,Neural Networks,Chris G. Antonopoulos,Ezequiel Bianco-Martinez,Murilo S. Baptista,,,,,,,,,,,,,,,,,,,,,,,,,
10,Implicit incremental natural actor critic algorithm.,2019,Neural Networks,Ryo Iwaki,Minoru Asada,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Roles for globus pallidus externa revealed in a computational model of action selection in the basal ganglia.,2019,Neural Networks,Shreyas M. Suryanarayana,Jeanette Hellgren Kotaleski,Sten Grillner,Kevin N. Gurney,,,,,,,,,,,,,,,,,,,,,,,,
12,Estimation of neuronal dynamics based on sparse modeling.,2019,Neural Networks,Shinya Otsuka,Toshiaki Omori,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A neurodynamic approach to nonlinear optimization problems with affine equality and convex inequality constraints.,2019,Neural Networks,Na Liu,Sitian Qin,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Passivity analysis of delayed reaction-diffusion memristor-based neural networks.,2019,Neural Networks,Yanyi Cao,Yuting Cao,Shiping Wen,Tingwen Huang,Zhigang Zeng,,,,,,,,,,,,,,,,,,,,,,,
15,Accelerating deep learning with memcomputing.,2019,Neural Networks,Haik Manukian,Fabio L. Traversa,Massimiliano Di Ventra,,,,,,,,,,,,,,,,,,,,,,,,,
16,Modulations of dendritic Ca2+ spike with weak electric fields in layer 5 pyramidal cells.,2019,Neural Networks,Guosheng Yi,Xile Wei,Jiang Wang,Bin Deng,Yanqiu Che,,,,,,,,,,,,,,,,,,,,,,,
17,Kafnets: Kernel-based non-parametric activation functions for neural networks.,2019,Neural Networks,Simone Scardapane,Steven Van Vaerenbergh,Simone Totaro,Aurelio Uncini,,,,,,,,,,,,,,,,,,,,,,,,
18,Saliency model based on a neural population for integrating figure direction and organizing Border Ownership.,2019,Neural Networks,Nobuhiko Wagatsuma,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Concept learning through deep reinforcement learning with memory-augmented neural networks.,2019,Neural Networks,Jing Shi,Jiaming Xu,Yiqun Yao,Bo Xu,,,,,,,,,,,,,,,,,,,,,,,,
20,Event-triggered impulsive control on quasi-synchronization of memristive neural networks with time-varying delays.,2019,Neural Networks,Yufeng Zhou,Zhigang Zeng,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Luminance gradients and non-gradients as a cue for distinguishing reflectance and illumination in achromatic images: A computational approach.,2019,Neural Networks,Alejandro Lerer,Hans Sup¨¨r,Matthias S. Keil,,,,,,,,,,,,,,,,,,,,,,,,,
22,Regularization of deep neural networks with spectral dropout.,2019,Neural Networks,Salman H. Khan,Munawar Hayat,Fatih Porikli,,,,,,,,,,,,,,,,,,,,,,,,,
23,Heterogeneity of synaptic input connectivity regulates spike-based neuronal avalanches.,2019,Neural Networks,Shengdun Wu,Yangsong Zhang,Yan Cui,Heng Li,Jiakang Wang,Lijun Guo,Yang Xia,Dezhong Yao,Peng Xu,Daqing Guo,,,,,,,,,,,,,,,,,,
24,ADA-Tucker: Compressing deep neural networks via adaptive dimension adjustment tucker decomposition.,2019,Neural Networks,Zhisheng Zhong,Fangyin Wei,Zhouchen Lin,Chao Zhang,,,,,,,,,,,,,,,,,,,,,,,,
25,Emergent neural turing machine and its visual navigation.,2019,Neural Networks,Zejia Zheng,Xiang Wu,Juyang Weng,,,,,,,,,,,,,,,,,,,,,,,,,
26,Synchronization-induced spike termination in networks of bistable neurons.,2019,Neural Networks,Muhammet Uzuntarla,Joaqu¨ªn J. Torres,Ali Calim,Ernest Barreto,,,,,,,,,,,,,,,,,,,,,,,,
27,A density-based competitive data stream clustering network with self-adaptive distance metric.,2019,Neural Networks,Baile Xu,Furao Shen,Jinxi Zhao,,,,,,,,,,,,,,,,,,,,,,,,,
28,Estimating coupling strength between multivariate neural series with multivariate permutation conditional mutual information.,2019,Neural Networks,Dong Wen,Peilei Jia,Sheng-Hsiou Hsu,Yanhong Zhou,Xifa Lan,Dong Cui,Guolin Li,Shimin Yin,Lei Wang,,,,,,,,,,,,,,,,,,,
29,Ensemble Neural Networks (ENN): A gradient-free stochastic method.,2019,Neural Networks,Yuntian Chen,Haibin Chang,Jin Meng,Dongxiao Zhang,,,,,,,,,,,,,,,,,,,,,,,,
30,Synchronization in uncertain fractional-order memristive complex-valued neural networks with multiple time delays.,2019,Neural Networks,Weiwei Zhang,Hai Zhang,Jinde Cao,Fuad E. Alsaadi,Dingyuan Chen,,,,,,,,,,,,,,,,,,,,,,,
31,A compact network learning model for distribution regression.,2019,Neural Networks,Connie Khor Li Kou,Hwee Kuan Lee,Teck Khim Ng,,,,,,,,,,,,,,,,,,,,,,,,,
32,A hypothetical neural network model for generation of human precision grip.,2019,Neural Networks,Yuki Moritani,Naomichi Ogihara,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Research on a learning rate with energy index in deep learning.,2019,Neural Networks,Huizhen Zhao,Fuxian Liu,Han Zhang,Zhibing Liang,,,,,,,,,,,,,,,,,,,,,,,,
34,A comparison of deep networks with ReLU activation function and linear spline-type methods.,2019,Neural Networks,Konstantin Eckle,Johannes Schmidt-Hieber,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Particle swarm optimization for network-based data classification.,2019,Neural Networks,Murillo G. Carneiro,Ran Cheng,Liang Zhao,Yaochu Jin,,,,,,,,,,,,,,,,,,,,,,,,
36,Response prediction of nonlinear hysteretic systems by deep neural networks.,2019,Neural Networks,Taeyong Kim,Oh-Sung Kwon,Junho Song,,,,,,,,,,,,,,,,,,,,,,,,,
37,An extensive experimental survey of regression methods.,2019,Neural Networks,Manuel Fern¨¢ndez Delgado,M. S. Sirsat,Eva Cernadas,Sadi Alawadi,Sen¨¦n Barro,Manuel Febrero-Bande,,,,,,,,,,,,,,,,,,,,,,
